date,inclinometer adc,load adc,tank lvl,stuff box lvl,pressure,flow
('2020122915494496',546,298,912,144,226,567)
('2020122915494506',717,395,199,154,355,790)
('2020122915494516',317,389,152,332,713,160)
('2020122915494526',401,337,373,104,348,809)
('2020122915494536',572,314,629,570,944,778)
('2020122915494546',465,399,452,356,743,835)
('2020122915494556',386,337,733,551,271,402)
('2020122915494566',316,386,478,119,928,208)
('2020122915494576',522,362,486,260,994,922)
('2020122915494586',461,270,666,763,820,401)
('2020122915494596',434,356,928,483,923,344)
('2020122915494606',408,252,552,556,828,949)
('2020122915494616',482,380,1010,256,715,816)
('2020122915494626',485,316,713,677,631,744)
('2020122915494636',398,305,961,530,545,1002)
('2020122915494646',434,231,972,543,404,458)
('2020122915494657',626,214,523,770,920,619)
('2020122915494667',361,253,300,678,366,288)
('2020122915494677',357,265,856,79,74,287)
('2020122915494687',465,341,168,608,398,814)
('2020122915494697',486,224,918,728,500,216)
('2020122915494707',623,289,991,818,63,171)
('2020122915494717',558,323,1019,263,437,613)
('2020122915494727',639,244,678,344,399,881)
('2020122915494737',620,392,184,307,840,868)
('2020122915494747',469,335,10,901,903,763)
('2020122915494757',387,363,610,933,837,142)
('2020122915494767',304,259,114,876,600,574)
('2020122915494777',328,369,696,209,596,888)
('2020122915494787',712,399,74,182,400,758)
('2020122915494797',388,213,471,192,911,658)
('2020122915494808',466,256,194,849,950,303)
('2020122915494818',493,329,320,829,156,848)
('2020122915494828',569,271,481,633,498,54)
('2020122915494838',705,318,497,23,926,897)
('2020122915494848',410,209,709,45,83,721)
('2020122915494858',614,297,64,151,166,673)
('2020122915494868',656,391,155,326,403,223)
('2020122915494878',462,392,618,281,999,972)
('2020122915494888',517,326,565,411,257,395)
('2020122915494898',612,287,431,440,703,557)
('2020122915494908',694,315,624,938,789,629)
('2020122915494918',685,243,334,96,369,497)
('2020122915494928',608,236,744,637,905,932)
('2020122915494938',397,376,749,665,1004,319)
('2020122915494948',418,318,214,872,444,361)
('2020122915494959',462,291,156,206,741,545)
('2020122915494969',540,310,279,407,868,683)
('2020122915494979',613,353,833,687,193,551)
('2020122915494989',651,400,220,485,918,577)
('2020122915494999',407,207,197,238,841,428)
('2020122915495009',382,267,285,495,15,537)
('2020122915495019',595,329,31,290,658,185)
('2020122915495029',349,390,885,21,782,77)
('2020122915495039',325,266,568,670,735,759)
('2020122915495049',665,218,178,338,165,486)
('2020122915495059',400,212,644,142,777,1016)
('2020122915495069',405,333,6,149,600,181)
('2020122915495079',706,393,177,595,988,403)
('2020122915495089',651,360,427,1006,190,992)
('2020122915495099',390,346,53,727,708,912)
('2020122915495109',467,370,113,358,626,875)
('2020122915495120',373,279,721,899,351,40)
('2020122915495130',625,238,285,842,144,1005)
('2020122915495140',365,362,607,719,571,427)
('2020122915495150',340,397,123,920,781,2)
('2020122915495160',302,361,294,514,163,560)
('2020122915495170',403,210,562,578,715,334)
('2020122915495180',721,381,532,787,87,652)
('2020122915495190',488,238,251,622,288,700)
('2020122915495200',712,276,850,314,964,288)
('2020122915495210',716,245,601,598,714,16)
('2020122915495220',667,334,345,726,81,963)
('2020122915495230',609,343,150,886,488,944)
('2020122915495240',648,282,363,52,276,36)
('2020122915495250',595,320,273,406,190,905)
('2020122915495260',642,217,92,456,924,907)
('2020122915495270',666,332,583,572,729,999)
('2020122915495281',531,288,254,734,741,1006)
('2020122915495291',548,286,604,818,88,392)
('2020122915495301',687,233,389,859,349,422)
('2020122915495311',620,285,617,675,11,970)
('2020122915495321',706,346,633,62,904,496)
('2020122915495331',612,232,656,553,481,830)
('2020122915495341',411,321,670,210,634,469)
('2020122915495351',346,361,402,501,141,254)
('2020122915495361',541,237,663,303,142,244)
('2020122915495371',539,244,607,634,994,639)
('2020122915495381',479,363,585,633,923,218)
('2020122915495391',414,358,695,129,76,104)
('2020122915495401',672,331,919,315,275,576)
('2020122915495411',497,232,978,71,704,799)
('2020122915495421',612,366,153,232,140,977)
('2020122915495432',700,261,1021,535,281,198)
('2020122915495442',353,334,209,366,55,937)
('2020122915495452',379,249,651,154,261,230)
('2020122915495462',306,312,986,938,229,524)
('2020122915495472',589,290,768,299,347,346)
('2020122915495482',476,207,268,29,284,403)
('2020122915495492',395,363,954,341,114,248)
('2020122915495502',670,266,693,506,915,137)
('2020122915495512',534,236,682,661,372,313)
('2020122915495522',663,287,55,544,541,161)
('2020122915495532',698,227,929,881,900,814)
('2020122915495542',680,216,438,211,912,311)
('2020122915495552',477,343,209,923,737,1004)
('2020122915495562',546,372,165,662,767,896)
('2020122915495572',609,368,473,16,880,528)
('2020122915495582',625,239,952,292,503,782)
('2020122915495593',419,389,440,310,703,882)
('2020122915495603',522,382,861,560,515,826)
('2020122915495613',535,362,249,908,448,684)
('2020122915495623',398,333,387,351,39,307)
('2020122915495633',675,335,422,875,931,262)
('2020122915495643',362,214,689,284,1010,1011)
('2020122915495653',603,304,303,370,598,736)
('2020122915495663',537,344,333,547,101,486)
('2020122915495673',718,235,771,675,455,31)
('2020122915495683',550,305,727,301,310,422)
('2020122915495693',440,340,1003,248,994,346)
('2020122915495703',407,220,25,467,288,493)
('2020122915495713',684,289,790,602,150,526)
('2020122915495723',634,388,117,958,954,433)
('2020122915495733',681,274,414,782,537,162)
('2020122915495743',557,242,8,29,290,410)
('2020122915495754',465,241,145,131,398,796)
('2020122915495764',467,392,635,912,751,289)
('2020122915495774',602,243,22,257,591,27)
('2020122915495784',624,350,969,335,842,841)
('2020122915495794',670,399,753,964,692,576)
('2020122915495804',405,332,312,105,236,485)
('2020122915495814',505,300,620,948,867,849)
('2020122915495824',395,257,766,254,577,6)
('2020122915495834',582,207,891,632,512,236)
('2020122915495844',658,307,699,920,816,656)
('2020122915495854',491,302,911,871,472,123)
('2020122915495864',481,265,845,677,872,150)
('2020122915495874',331,312,370,474,873,787)
('2020122915495884',491,239,218,609,381,276)
