date,inclinometer adc,load adc,tank lvl,stuff box lvl,pressure,flow
('2020122915474415',432,298,746,347,526,533)
('2020122915474425',552,205,24,868,581,10)
('2020122915474435',553,306,278,361,724,93)
('2020122915474445',549,355,718,159,252,170)
('2020122915474456',351,244,826,713,46,1010)
('2020122915474466',622,301,220,628,194,590)
('2020122915474476',453,290,202,899,599,379)
('2020122915474486',415,332,620,1002,0,259)
('2020122915474496',600,239,787,669,363,188)
('2020122915474506',603,322,847,898,146,995)
('2020122915474516',391,273,166,18,294,627)
('2020122915474526',682,343,305,759,658,253)
('2020122915474536',458,383,455,962,592,67)
('2020122915474546',558,334,382,67,282,621)
('2020122915474556',589,230,745,261,145,320)
('2020122915474566',628,280,610,963,918,592)
('2020122915474576',348,373,200,922,994,732)
('2020122915474586',717,205,599,215,285,62)
('2020122915474596',526,333,350,37,883,971)
('2020122915474606',383,332,241,669,197,643)
('2020122915474617',655,358,951,314,116,618)
('2020122915474627',556,339,231,693,146,559)
('2020122915474637',373,281,497,861,32,473)
('2020122915474647',509,325,949,904,699,981)
('2020122915474657',533,257,455,883,322,917)
('2020122915474667',443,247,29,211,805,864)
('2020122915474677',570,210,929,470,890,892)
('2020122915474687',418,312,134,594,584,616)
('2020122915474697',609,216,494,985,230,665)
('2020122915474707',479,206,961,205,714,668)
('2020122915474717',514,320,224,310,633,411)
('2020122915474727',666,265,319,844,262,764)
('2020122915474737',475,311,225,524,16,483)
('2020122915474747',316,263,72,765,69,715)
('2020122915474757',595,289,743,657,49,100)
('2020122915474767',333,270,207,498,443,716)
('2020122915474778',365,235,299,506,260,423)
('2020122915474788',664,319,351,949,208,760)
('2020122915474798',358,267,112,812,409,632)
('2020122915474808',543,358,955,803,448,674)
('2020122915474818',319,298,742,993,667,180)
('2020122915474828',396,218,434,522,527,644)
('2020122915474838',561,228,671,397,216,257)
('2020122915474848',360,269,292,917,940,245)
('2020122915474858',349,363,494,402,240,610)
('2020122915474868',446,236,976,681,1006,621)
('2020122915474878',717,391,829,584,224,159)
('2020122915474888',622,297,445,437,13,664)
('2020122915474898',572,261,646,616,820,414)
('2020122915474908',319,323,891,417,325,170)
('2020122915474918',541,386,355,832,543,148)
('2020122915474928',590,380,49,444,844,36)
('2020122915474939',534,216,944,780,355,146)
('2020122915474949',700,355,589,602,985,48)
('2020122915474959',361,350,122,770,628,1015)
('2020122915474969',691,235,307,647,929,210)
('2020122915474979',486,323,470,652,6,833)
('2020122915474989',439,250,698,32,566,642)
('2020122915474999',446,273,206,94,417,329)
('2020122915475009',389,389,264,721,728,171)
('2020122915475019',563,263,41,324,331,493)
('2020122915475029',691,236,920,276,5,140)
('2020122915475039',563,215,491,850,825,630)
('2020122915475049',491,217,246,319,332,935)
('2020122915475059',631,332,408,269,655,435)
('2020122915475069',502,336,315,587,205,688)
('2020122915475079',571,304,617,355,791,415)
('2020122915475089',430,284,753,677,271,816)
('2020122915475100',608,392,777,219,529,67)
('2020122915475110',403,312,403,673,62,527)
('2020122915475120',717,257,107,995,1023,457)
('2020122915475130',367,327,847,942,968,678)
('2020122915475140',494,332,361,227,516,38)
('2020122915475150',678,308,773,315,28,861)
('2020122915475160',553,267,407,217,390,231)
('2020122915475170',399,389,28,476,943,108)
('2020122915475180',475,349,821,836,734,658)
('2020122915475190',365,281,987,659,920,535)
('2020122915475200',515,324,1007,682,596,495)
('2020122915475210',367,247,792,123,550,82)
('2020122915475220',564,280,193,41,234,375)
('2020122915475230',522,324,19,699,76,374)
('2020122915475240',337,339,450,134,824,89)
('2020122915475251',327,396,940,404,918,95)
('2020122915475261',593,291,980,676,533,285)
('2020122915475271',502,345,4,725,144,974)
('2020122915475281',489,259,405,724,409,41)
('2020122915475291',709,292,673,370,951,452)
('2020122915475301',696,205,543,857,209,726)
('2020122915475311',648,234,998,402,612,782)
('2020122915475321',423,310,737,353,295,914)
('2020122915475331',369,248,161,102,995,702)
('2020122915475341',356,252,42,604,952,633)
('2020122915475351',690,251,648,360,388,569)
('2020122915475361',664,312,87,600,916,684)
('2020122915475371',584,264,302,812,449,610)
('2020122915475381',628,385,498,469,655,798)
('2020122915475391',466,324,878,724,827,310)
('2020122915475402',424,266,23,772,471,693)
('2020122915475412',613,352,988,763,202,881)
('2020122915475422',400,254,850,540,310,133)
('2020122915475432',594,356,84,1019,535,864)
('2020122915475442',716,338,717,188,602,766)
('2020122915475452',415,385,998,167,803,152)
('2020122915475462',415,238,3,457,756,641)
('2020122915475472',705,221,870,509,839,590)
('2020122915475482',408,356,483,683,819,820)
('2020122915475492',407,243,627,568,409,994)
('2020122915475502',475,385,257,994,418,180)
('2020122915475512',310,306,978,267,240,875)
('2020122915475522',499,212,373,349,226,976)
('2020122915475532',384,217,159,447,436,578)
('2020122915475542',335,337,726,223,477,339)
('2020122915475553',488,397,650,75,883,622)
('2020122915475563',309,285,759,61,152,1017)
('2020122915475573',575,217,545,606,761,198)
('2020122915475583',702,300,332,470,814,439)
('2020122915475593',534,294,31,999,706,789)
('2020122915475603',437,278,663,58,40,1007)
('2020122915475613',661,307,1009,220,454,524)
('2020122915475623',664,332,601,253,971,495)
('2020122915475633',700,343,552,617,484,881)
('2020122915475643',592,285,240,636,635,192)
('2020122915475653',680,211,421,337,229,847)
('2020122915475663',582,376,25,320,820,808)
('2020122915475673',578,339,323,900,386,270)
('2020122915475683',655,255,753,788,18,773)
('2020122915475694',641,394,575,340,301,49)
('2020122915475704',447,265,1009,441,881,129)
('2020122915475714',466,224,73,515,869,23)
('2020122915475724',582,370,695,704,165,560)
('2020122915475734',461,326,537,965,488,591)
('2020122915475744',520,295,120,576,410,262)
('2020122915475754',490,302,654,139,701,21)
('2020122915475764',322,267,603,797,879,656)
('2020122915475774',697,335,294,627,436,421)
('2020122915475784',546,382,184,937,344,371)
('2020122915475794',713,342,504,350,296,136)
('2020122915475804',500,255,317,105,802,164)
('2020122915475814',544,240,28,940,902,1002)
('2020122915475824',467,250,633,334,839,237)
('2020122915475834',527,298,308,514,645,76)
('2020122915475845',395,263,221,1001,891,239)
('2020122915475855',575,288,620,834,349,799)
('2020122915475865',410,334,652,868,89,719)
('2020122915475875',722,263,281,138,908,271)
('2020122915475885',401,326,936,935,414,222)
('2020122915475895',678,379,667,974,218,982)
('2020122915475905',416,390,562,987,254,85)
('2020122915475915',597,245,77,531,70,683)
('2020122915475925',671,209,293,103,23,907)
('2020122915475935',714,239,179,8,172,187)
('2020122915475945',678,237,396,629,990,332)
('2020122915475955',650,308,75,698,939,615)
('2020122915475965',671,340,307,602,643,754)
('2020122915475975',604,239,262,494,595,290)
('2020122915475985',705,214,173,777,53,380)
('2020122915475996',412,345,916,475,199,326)
('2020122915480006',364,220,732,433,28,300)
('2020122915480016',444,224,139,374,751,41)
('2020122915480026',614,386,694,1,967,535)
('2020122915480036',591,319,566,285,26,919)
('2020122915480046',509,340,771,539,968,336)
('2020122915480056',675,263,595,666,238,224)
('2020122915480066',602,399,790,414,384,761)
('2020122915480076',691,356,773,149,480,947)
('2020122915480086',472,379,611,558,224,222)
('2020122915480096',429,264,147,1016,401,206)
('2020122915480106',313,206,270,35,815,148)
('2020122915480116',535,269,2,198,586,783)
('2020122915480126',356,255,180,870,103,777)
('2020122915480136',538,379,564,520,378,358)
('2020122915480146',322,320,1006,159,416,51)
('2020122915480157',476,400,926,228,3,493)
('2020122915480167',488,395,575,1013,596,511)
('2020122915480177',719,307,382,12,60,132)
('2020122915480187',499,272,47,632,120,734)
('2020122915480197',448,250,1002,181,557,646)
('2020122915480207',579,399,7,612,406,502)
('2020122915480217',499,248,763,910,120,922)
('2020122915480227',582,260,415,272,354,545)
('2020122915480237',562,301,600,404,360,427)
('2020122915480247',409,300,925,148,30,563)
('2020122915480257',529,350,936,990,304,830)
('2020122915480267',498,290,372,34,160,5)
('2020122915480277',374,240,541,511,874,468)
('2020122915480287',379,378,120,45,454,170)
('2020122915480297',609,301,540,871,271,158)
('2020122915480308',672,333,942,667,97,324)
('2020122915480318',350,363,255,97,761,486)
('2020122915480328',423,310,362,723,269,944)
('2020122915480338',579,236,682,496,832,812)
('2020122915480348',502,220,818,410,298,334)
('2020122915480358',475,346,789,225,361,749)
('2020122915480368',401,242,699,664,930,19)
('2020122915480378',539,216,893,67,605,252)
('2020122915480388',705,257,213,668,194,214)
('2020122915480398',525,375,736,783,243,16)
('2020122915480408',600,244,680,328,256,326)
('2020122915480418',628,363,60,840,352,72)
('2020122915480428',380,224,165,769,485,857)
('2020122915480438',658,331,901,338,464,321)
('2020122915480448',350,238,348,631,349,935)
('2020122915480459',519,245,515,394,746,679)
('2020122915480469',622,348,621,342,687,933)
('2020122915480479',402,355,209,8,470,772)
('2020122915480489',535,281,631,869,33,891)
('2020122915480499',690,369,843,47,678,234)
('2020122915480509',636,266,484,486,325,245)
('2020122915480519',342,311,850,519,317,511)
('2020122915480529',574,299,169,110,909,178)
('2020122915480539',628,316,805,312,634,793)
('2020122915480549',422,249,462,232,474,666)
('2020122915480559',468,273,243,664,154,669)
('2020122915480569',441,356,465,970,473,660)
('2020122915480579',479,377,737,963,656,945)
('2020122915480589',644,325,598,417,585,587)
('2020122915480599',320,290,523,962,121,141)
('2020122915480610',447,328,713,595,653,173)
('2020122915480620',463,205,378,83,212,37)
('2020122915480630',553,339,455,356,749,436)
('2020122915480640',353,352,878,748,504,1000)
('2020122915480650',684,219,808,702,533,593)
('2020122915480660',434,346,224,181,415,543)
('2020122915480670',326,275,746,811,660,909)
('2020122915480680',309,245,184,180,364,614)
('2020122915480690',379,207,437,230,344,510)
('2020122915480700',305,241,788,984,413,702)
('2020122915480710',470,223,216,805,714,905)
('2020122915480720',440,349,847,635,200,443)
('2020122915480730',672,242,50,341,967,748)
('2020122915480740',313,277,776,930,592,883)
('2020122915480750',602,289,254,74,199,600)
('2020122915480761',642,207,728,307,29,493)
('2020122915480771',709,331,215,101,894,495)
('2020122915480781',669,346,329,433,539,1024)
