date,inclinometer adc,load adc,tank lvl,stuff box lvl,pressure,flow
('2020122915484456',665,287,351,338,854,348)
('2020122915484466',516,267,886,475,1004,775)
('2020122915484476',382,358,139,157,347,41)
('2020122915484486',511,259,380,958,146,74)
('2020122915484496',563,400,227,673,651,665)
('2020122915484506',604,226,65,863,438,643)
('2020122915484516',721,369,894,1008,627,778)
('2020122915484526',366,311,99,452,777,383)
('2020122915484536',438,324,181,422,183,287)
('2020122915484546',325,328,455,337,264,89)
('2020122915484556',713,391,571,371,689,348)
('2020122915484566',715,304,233,832,307,511)
('2020122915484576',624,205,221,390,909,987)
('2020122915484586',318,332,6,735,341,809)
('2020122915484597',700,319,596,379,983,754)
('2020122915484607',705,364,980,129,199,356)
('2020122915484617',396,320,67,179,990,638)
('2020122915484627',474,280,389,432,482,165)
('2020122915484637',636,234,539,826,170,905)
('2020122915484647',303,333,265,229,919,1006)
('2020122915484657',612,223,867,159,96,355)
('2020122915484667',688,277,246,537,445,530)
('2020122915484677',387,252,273,283,570,483)
('2020122915484687',515,333,362,284,269,130)
('2020122915484697',310,399,570,383,151,642)
('2020122915484707',718,368,543,808,917,582)
('2020122915484717',362,241,696,263,732,1010)
('2020122915484727',486,291,931,367,248,783)
('2020122915484737',621,332,705,390,546,314)
('2020122915484748',550,270,625,715,927,677)
('2020122915484758',493,284,455,42,737,962)
('2020122915484768',406,395,942,272,518,974)
('2020122915484778',463,268,380,102,84,7)
('2020122915484788',524,398,527,484,884,220)
('2020122915484798',712,333,125,821,1003,174)
('2020122915484808',325,341,498,910,392,575)
('2020122915484818',579,257,764,155,115,879)
('2020122915484828',538,255,205,39,616,426)
('2020122915484838',465,384,714,846,310,191)
('2020122915484848',618,328,848,816,786,567)
('2020122915484858',439,383,335,219,306,605)
('2020122915484868',544,335,560,325,307,258)
('2020122915484878',339,331,976,773,910,14)
('2020122915484888',520,323,347,399,599,23)
('2020122915484899',582,337,654,470,297,287)
('2020122915484909',400,343,805,100,36,932)
('2020122915484919',516,244,780,126,690,257)
('2020122915484929',506,256,603,885,684,838)
('2020122915484939',305,333,532,890,429,303)
('2020122915484949',399,319,886,496,762,405)
('2020122915484959',459,388,96,628,276,698)
('2020122915484969',439,301,874,1020,862,880)
('2020122915484979',593,368,3,752,122,946)
('2020122915484989',709,297,929,90,431,97)
('2020122915484999',509,359,354,381,85,192)
('2020122915485009',408,335,738,859,57,751)
('2020122915485019',505,320,208,556,934,236)
('2020122915485029',543,264,598,720,97,677)
('2020122915485039',492,274,330,124,218,1015)
('2020122915485050',628,373,85,407,844,171)
('2020122915485060',452,290,340,593,232,104)
('2020122915485070',438,300,720,334,292,41)
('2020122915485080',594,352,847,835,237,238)
('2020122915485090',384,252,860,563,467,1022)
('2020122915485100',328,272,62,618,514,780)
('2020122915485110',469,309,1000,213,628,516)
('2020122915485120',661,222,490,557,532,333)
('2020122915485130',396,339,113,610,512,167)
('2020122915485140',570,367,431,527,659,445)
('2020122915485150',643,262,51,40,656,889)
('2020122915485160',475,328,124,611,673,860)
('2020122915485170',313,364,60,595,13,942)
('2020122915485180',683,313,457,450,498,765)
('2020122915485190',430,338,761,969,207,132)
('2020122915485201',513,236,410,210,34,955)
('2020122915485211',312,266,640,962,557,76)
('2020122915485221',361,349,304,642,316,872)
('2020122915485231',447,229,767,453,489,745)
('2020122915485241',658,206,901,439,793,344)
('2020122915485251',533,212,581,298,389,713)
('2020122915485261',547,356,107,395,590,463)
('2020122915485271',435,299,389,1019,102,712)
('2020122915485281',591,349,611,676,773,194)
('2020122915485291',602,246,643,293,90,503)
('2020122915485301',714,321,357,898,653,41)
('2020122915485311',679,380,716,1019,612,105)
('2020122915485321',371,338,948,454,855,193)
('2020122915485331',648,385,270,144,307,437)
('2020122915485341',329,290,22,975,421,609)
('2020122915485352',548,222,257,19,341,630)
('2020122915485362',424,227,369,553,850,287)
('2020122915485372',395,338,956,402,669,972)
('2020122915485382',596,288,91,254,881,248)
('2020122915485392',414,254,380,798,467,322)
('2020122915485402',360,376,1019,580,556,531)
('2020122915485412',691,264,170,174,549,278)
('2020122915485422',462,372,361,576,164,630)
