date,inclinometer adc,load adc,tank lvl,stuff box lvl,pressure,flow
('2020122915491476',350,376,809,42,531,847)
('2020122915491486',498,377,10,1001,702,384)
('2020122915491496',379,266,421,107,337,760)
('2020122915491506',304,216,167,287,242,442)
('2020122915491516',607,321,414,450,399,360)
('2020122915491526',627,209,444,951,308,402)
('2020122915491536',467,353,303,315,713,521)
('2020122915491546',375,265,454,672,318,597)
('2020122915491556',405,213,137,434,755,976)
('2020122915491566',469,313,960,752,15,13)
('2020122915491576',450,303,239,745,329,34)
('2020122915491586',494,235,331,682,644,9)
('2020122915491597',376,276,130,858,607,38)
('2020122915491607',537,293,184,8,764,428)
('2020122915491617',302,382,750,819,512,73)
('2020122915491627',318,219,597,595,878,364)
('2020122915491637',379,307,935,724,239,532)
('2020122915491647',510,313,197,538,828,430)
('2020122915491657',475,331,443,1016,234,393)
('2020122915491667',586,206,109,318,500,695)
('2020122915491677',576,253,508,901,173,383)
('2020122915491687',476,253,63,662,921,318)
('2020122915491697',510,349,138,748,722,195)
('2020122915491707',361,298,689,1024,193,995)
('2020122915491717',330,330,775,458,19,225)
('2020122915491727',529,303,369,100,564,884)
('2020122915491737',660,226,52,709,724,783)
('2020122915491747',377,244,437,610,569,1005)
('2020122915491758',607,209,901,20,781,1)
('2020122915491768',550,393,386,556,414,152)
('2020122915491778',538,234,994,392,451,193)
('2020122915491788',609,295,801,539,297,453)
('2020122915491798',626,209,853,420,301,18)
('2020122915491808',682,289,794,29,236,571)
('2020122915491818',304,355,517,682,282,173)
('2020122915491828',495,212,246,322,452,498)
('2020122915491838',691,284,4,234,175,733)
('2020122915491848',722,321,513,268,954,622)
('2020122915491858',384,384,687,611,591,266)
('2020122915491868',715,301,197,225,221,600)
('2020122915491878',573,337,243,672,685,723)
('2020122915491888',309,351,189,230,103,542)
('2020122915491898',445,350,864,110,549,932)
('2020122915491909',422,380,644,10,873,769)
('2020122915491919',618,315,907,710,314,833)
('2020122915491929',534,279,588,901,137,715)
('2020122915491939',432,383,475,535,576,798)
